url_length,has_https,hyphen_count,subdomain_count,suspicious_keyword_count,has_ip_address,form_count,script_count,image_count,wallet_keyword_count,known_entity,official_domain_match,search_domain_frequency,url_probability,feature_probability,threat_count,ocr_text_length,malware_hits,network_requests,network_responses,wallet_requests,privacy_flags,domain_records
25,0,1,1,0,0,0,0,0,0,0,0,0,0.17658254504203796,0.6566442251205444,0,0,4,0,0,0,3,2
30,1,0,2,0,0,0,15,4,1,1,1,7,0.033707667142152786,0.6566442251205444,0,0,4,100,11,0,3,2
26,1,0,2,0,0,1,2,1,0,1,1,1,0.03425281122326851,0.6566442251205444,0,0,4,6,0,0,3,2
27,1,0,2,0,0,0,14,20,0,1,1,1,0.03904766961932182,0.6566442251205444,0,0,4,100,5,0,3,2
27,1,0,2,0,0,0,14,20,0,1,1,5,0.03904766961932182,0.6566442251205444,0,0,4,100,5,0,3,2
26,1,0,2,0,0,0,20,20,0,1,1,8,0.03425281122326851,0.6566442251205444,0,0,4,100,50,0,3,2
30,1,1,2,0,0,0,4,20,1,1,1,5,0.08386695384979248,0.6566442251205444,0,0,4,100,6,0,3,2
26,1,0,2,0,0,0,20,20,0,0,1,7,0.03425281122326851,0.6566442251205444,0,0,4,100,7,0,3,2
20,1,0,1,0,0,0,20,20,2,1,1,8,0.850507378578186,0.6566442251205444,0,0,4,100,5,0,3,2
25,1,0,2,0,0,1,5,20,1,1,1,3,0.014273203909397125,0.6566442251205444,0,0,4,100,9,0,3,2
62,1,0,2,0,0,1,16,20,0,1,1,6,0.9992976188659668,0.6566442251205444,0,0,4,100,6,0,3,2
23,1,0,2,0,0,0,20,20,0,1,1,1,0.01726713217794895,0.6566442251205444,0,0,4,100,12,0,3,2
60,1,0,2,0,0,0,20,1,0,1,1,7,0.7158363461494446,0.6566442251205444,0,0,4,45,0,0,3,2
50,1,0,2,0,0,2,9,1,0,1,1,7,0.13720765709877014,0.6566442251205444,0,0,4,64,6,0,3,2
14,1,0,1,0,0,0,2,0,0,1,0,3,0.6029011607170105,0.6566442251205444,0,0,4,100,5,0,3,2
24,1,0,2,0,0,0,16,0,0,1,1,12,0.01726713217794895,0.6566442251205444,0,0,4,100,4,0,3,2
31,1,0,2,0,0,0,0,0,0,1,0,1,0.05030963197350502,0.6566442251205444,0,0,4,0,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
